var1,var2,var3,var4,var5
-0.029632,0.12444,-0.075801,-0.030496,0.14519
-0.15838,0.092218,-0.09953,-0.051876,0.017352
-0.0035738,0.074866,-0.079686,-0.12423,0.094125
0.16066,0.045562,0.10148,-0.10346,0.02817
0.12872,-0.064888,-0.044749,-0.053538,0.19894
0.072885,0.0040305,0.17621,0.06422,-0.062531
0.0053418,-0.20285,-0.097835,0.050862,-0.0069829
0.25185,0.044031,0.045128,0.097011,0.032521
0.058878,-0.12303,-0.096036,0.19258,0.062123
-0.05179,-0.12,-0.011948,-0.031318,0.029864
0.046551,-0.095783,0.20114,-0.19609,-0.054382
0.13105,0.12986,-0.091624,-0.013755,0.18573
0.0092294,-0.14121,0.010383,-0.12511,-0.13704
0.11695,-0.20949,-0.018328,0.15996,-0.090891
0.33851,0.026319,-0.13312,0.20936,-0.13045
-0.056094,0.026743,0.097611,0.36576,0.17611
0.0053136,0.18601,-0.17387,0.01694,-0.051934
-0.067406,0.13719,0.1343,-0.092946,-0.093832
-0.089707,0.12721,-0.033755,-0.077268,0.063351
-0.13714,0.15416,0.050793,-0.10095,0.166
-0.27261,0.23788,-0.024429,-0.23401,0.0099819
-0.26772,0.41173,0.029387,-0.38568,-0.1161
-0.21911,0.14879,-0.0063798,-0.43134,0.062105
-0.264,0.021819,-0.096617,0.10794,-0.076504
0.073006,0.03402,-0.013251,0.019923,-0.092449
0.079779,0.050479,0.045221,-0.068935,-0.021454
0.05606,-0.069741,-0.047962,0.22215,0.084187
0.073452,-0.13184,0.064634,-0.12267,0.085523
0.13245,-0.037263,0.17461,-0.0096119,0.19273
0.038861,-0.12305,0.16896,-0.11207,-0.096222
0.050007,0.093917,0.071315,0.096918,-0.037166
-0.34447,-0.17252,-0.0057387,0.0016855,0.12132
0.052924,0.22782,0.064754,-0.16454,-0.0054666
-0.01729,-0.032884,-0.0031423,0.058514,-0.022602
-0.072662,0.20098,-0.07553,0.29779,0.011533
-0.17633,0.004716,-0.11507,-0.052663,-0.042177
-0.077595,0.073902,0.073469,0.0035566,-0.10292
-0.20108,-0.068074,-0.11025,-0.12562,-0.13938
